STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_NET_BBND,Fixed Internet broadband subscriptions per 100 inhabitants,WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,0.79,,PER_100_POP,per 100 population,G,Global,E,Estimated,Data based on the ITU DataHub,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_NET_BBND,Fixed Internet broadband subscriptions per 100 inhabitants,WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,0.88,,PER_100_POP,per 100 population,G,Global,E,Estimated,Data based on the ITU DataHub,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,40,,RATIO_POP,ratio to total population,G,Global,_X,Not Available,ITU Estimate,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,53,,PERCENT,percent,G,Global,C,Country Data,"Ministry of Information, Communication, Transport & Tourism Development",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,53,,PERCENT,percent,G,Global,C,Country Data,"Ministry of Information, Communication, Transport & Tourism Development",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,53.3,,PERCENT,percent,G,Global,C,Country Data,"Ministry of Information, Communication, Transport & Tourism Development",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,64,,PERCENT,percent,G,Global,C,Country Data,"Ministry of Information, Communication, Transport & Tourism Development",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_MOB_4GNTWK,"Proportion of population covered by at least a 4G mobile
            network",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,64,,PERCENT,percent,G,Global,C,Country Data,"Ministry of Information, Communication, Transport & Tourism Development",,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,VU,Vanuatu,M,Male,Y55T64,55-64,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,28.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,VU,Vanuatu,M,Male,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,41.7,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,KI,Kiribati,F,Female,Y15T24,15-24,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,50.6,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,WS,Samoa,_T,Total,Y10T999,10+,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,35.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,KI,Kiribati,_T,Total,Y55T64,55-64,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,17.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,MH,Marshall Islands,_T,Total,Y65T999,65+,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,32,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_NRM,"Number of reported maritime search and rescue incidents per
            year",PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,6,,N,units,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"Data on small boats (artisan fishers, include banana boats, canoes, kayaks, small boats or dinghies withoutboard motors, etc) and ships (include large commercial vessels, e.g., cargo ships, passenger ships, and large fishing vessels).",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_NRM,"Number of reported maritime search and rescue incidents per
            year",PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,6,,N,units,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"Data on small boats (artisan fishers, include banana boats, canoes, kayaks, small boats or dinghies withoutboard motors, etc) and ships (include large commercial vessels, e.g., cargo ships, passenger ships, and large fishing vessels).",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_NRF,"Number of road fatalities per 10,000 registered vehicles",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,5,,PER_10000_VEH,"per 10,000 vehicles",R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_NRF,"Number of road fatalities per 10,000 registered vehicles",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,5,,PER_10000_VEH,"per 10,000 vehicles",R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,TV,Tuvalu,F,Female,Y55T64,55-64,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,12.6,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2015-2016,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,FM,Micronesia (Federated States of),_T,Total,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,15.7,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,KI,Kiribati,F,Female,Y10T999,10+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,31.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,KI,Kiribati,F,Female,Y10T999,10+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,36.3,,PERCENT,percent,N,National,C,Country Data,Kiribati 2020 Census microdata.,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,NR,Nauru,_T,Total,Y65T999,65+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,11.3,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2012-2013,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,MH,Marshall Islands,M,Male,Y10T14,10-14,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,18.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_PRU,Proportion of roads unpaved,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008,,0,,PERCENT,percent,R,Regional,C,Country Data,Pacific Infrastructure Performance Indicators 2011 report,,A,Normal value,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_PRU,Proportion of roads unpaved,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009,,0,,PERCENT,percent,R,Regional,C,Country Data,2016 Pacific Infrastructure Performance Indicators 'PIPIs' report,,A,Normal value,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_PRU,Proportion of roads unpaved,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,10,,PERCENT,percent,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,WS,Samoa,_T,Total,Y10T14,10-14,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,12.6,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,TV,Tuvalu,M,Male,Y10T999,10+,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,44.7,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2015-2016,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,VU,Vanuatu,_T,Total,Y25T54,25-54,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,60.5,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,KI,Kiribati,_T,Total,Y10T999,10+,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,21.2,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,KI,Kiribati,_T,Total,Y10T999,10+,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,26.9,,PERCENT,percent,N,National,C,Country Data,Kiribati 2020 Census microdata.,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,FM,Micronesia (Federated States of),M,Male,Y15T24,15-24,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,27.1,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,VU,Vanuatu,M,Male,Y65T999,65+,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,0.7,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,TO,Tonga,_T,Total,Y25T54,25-54,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,90.1,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2021-2022,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,TV,Tuvalu,F,Female,Y65T999,65+,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,0,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2015-2016,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,PW,Palau,F,Female,Y10T999,10+,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,48.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,SB,Solomon Islands,_T,Total,Y10T14,10-14,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,1.2,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2012-2013,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,TO,Tonga,M,Male,Y15T24,15-24,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,84.1,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2021-2022,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,IT_USE_ii99,Proportion of individuals using the Internet,PW,Palau,F,Female,Y25T54,25-54,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,27.9,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Internet use in the last 30 days,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,0.25,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2004,,0.24,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,0.25,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,0.21,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,0.2,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,0.21,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,0.12,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,0.19,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,0.28,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,0.32,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,EGI,E-Goverment Index,PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2024,,0.31,,INDEX,index,_Z,Not applicable,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_NRM,"Number of reported maritime search and rescue incidents per
            year",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,37,,N,units,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"Data on small boats (artisan fishers, include banana boats, canoes, kayaks, small boats or dinghies withoutboard motors, etc) and ships (include large commercial vessels, e.g., cargo ships, passenger ships, and large fishing vessels).",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_NRM,"Number of reported maritime search and rescue incidents per
            year",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,61,,N,units,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"Data on small boats (artisan fishers, include banana boats, canoes, kayaks, small boats or dinghies withoutboard motors, etc) and ships (include large commercial vessels, e.g., cargo ships, passenger ships, and large fishing vessels).",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010,,1.77,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,1.61,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
DATAFLOW,SPC:DF_BP50_7(1.0),Blue Pacific 2050: Technology And Connectivity (Thematic Area 7),I,A,Annual,BPI_LSC,Liner Shipping Connectivity Index,FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,2.46,,INDEX,index,R,Regional,C,Country Data,Review of Economic Infrastructure in the Pacific: Pacific Infrastructure Performance Indicators 2021 report,,A,Normal value,"The figure is from Quarter 3 of the given year. A benchmark of 100 was set in 2004. For each of the five components in the calculation (number of regular containerized ships serviced in the country,their container-carrying capacity,maximum vessel size that can be received,number of services, and number of companies that deploy container ships to a country’s ports), a country’s value is divided by the maximum value of each component in 2004, the five components are then averaged for each country, and the average is divided by the maximum average for 2004 and multiplied by 100.",
